DATE      : 2021-09-19
TIME      : 16:45:35.521004
-------------------------------------
Table of Student Results
+----------------+------------------+------------------+--------------------+-------------------+-----------------------+-----------------------+-------------------------+------------------------+
|     net_id     | encrypt_CASE_ONE | encrypt_CASE_TWO | encrypt_CASE_THREE | encrypt_CASE_FOUR | text_to_digt_CASE_ONE | text_to_digt_CASE_TWO | text_to_digt_CASE_THREE | text_to_digt_CASE_FOUR |
+----------------+------------------+------------------+--------------------+-------------------+-----------------------+-----------------------+-------------------------+------------------------+
|      ma65      |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    yashpb2     |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      0 |
|      ec17      |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|     sc109      |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    schen176    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|      nc4       |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    bjclark4    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    rdalke2     |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    xinyad2     |  |
|    mfactor2    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    mguruv2     |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    duyenho2    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|     mth13      |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    chenfei5    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|      kunh      |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    jaehwan3    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|      ndj2      |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    emilyrj2    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|     inhoj2     |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|     yashk5     |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    hyosup2     |                0 |                0 |                  0 |                 0 |                     0 |                     0 |                       0 |                      0 |
|    yundong2    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|      ko37      |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    mkumar41    |                1 |                1 |                  0 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    dykwon2     |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    yumengl4    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    ziweil4     |                0 |                0 |                  0 |                 0 |                     1 |                     1 |                       1 |                      1 |
|    priyamm2    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    rnamiki2    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    seyoung7    |                0 |                0 |                  0 |                 0 |                     0 |                     0 |                       0 |                      0 |
|    sawyerp2    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    cranjan2    |                0 |                0 |                  0 |                 0 |                     1 |                     1 |                       1 |                      1 |
|    adarshr3    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    emreed3     |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    xiyaren2    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    kroeser2    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|      thr2      |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    yueshao3    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    coreyws2    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    wasayms2    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    solanki7    |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|      ks40      |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|     absun2     |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|     samrt2     |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    vandepol    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|      sw20      |  |
|    yuchenw7    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    jaysonw2    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    yixiaox3    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|      yx15      |                0 |                0 |                  0 |                 0 |                     0 |                     0 |                       0 |                      0 |
|    jiayinx2    |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
|    fanjiz2     |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    peiwen4     |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    xiaoz16     |                1 |                1 |                  1 |                 1 |                     0 |                     0 |                       0 |                      0 |
|    alexhz2     |                1 |                1 |                  1 |                 1 |                     1 |                     1 |                       1 |                      1 |
+----------------+------------------+------------------+--------------------+-------------------+-----------------------+-----------------------+-------------------------+------------------------+
|  num students  |               55 |               55 |                 55 |                55 |                    55 |                    55 |                      55 |                     55 | 
|  num correct   |               48 |               48 |                 47 |                48 |                    31 |                    31 |                      31 |                     30 | 
